Type,TimeStamp,Latitude,Longitude,HAccuracy,Speed,Course
0,2017-09-22 20:08:54 +0000,37.410468,-121.893507,5,13.14,61.921589
0,2017-09-22 20:08:59 +0000,37.410717,-121.892734,5,15.92,73.208191
0,2017-09-22 20:09:04 +0000,37.410915,-121.891851,5,16.67,74.537933
0,2017-09-22 20:09:10 +0000,37.411151,-121.890883,5,12.79,71.638557
0,2017-09-22 20:09:15 +0000,37.411372,-121.890117,5,15.18,69.89505
0,2017-09-22 20:09:16 +0000,37.411418,-121.889961,5,15.24,69.89505
0,2017-09-22 20:09:22 +0000,37.411781,-121.889007,5,16.959999,69.960938
0,2017-09-22 20:09:27 +0000,37.41206,-121.888064,5,18.1,69.609375
0,2017-09-22 20:09:33 +0000,37.412445,-121.886926,5,18.83,66.09375
0,2017-09-22 20:09:38 +0000,37.412776,-121.885879,5,20.389999,68.203125
0,2017-09-22 20:09:43 +0000,37.41304,-121.885008,5,11.03,71.367188
0,2017-09-22 20:09:48 +0000,37.413102,-121.884791,5,0,72.070312
0,2017-09-22 20:10:14 +0000,37.413169,-121.884522,5,7.19,74.179688
0,2017-09-22 20:10:19 +0000,37.413159,-121.884299,5,2.26,68.478134
0,2017-09-22 20:10:24 +0000,37.413227,-121.884082,5,3.93,68.478134
0,2017-09-22 20:10:28 +0000,37.413346,-121.88426,5,7.86,248.524139
0,2017-09-22 20:10:33 +0000,37.413112,-121.885002,5,18.870001,248.4897
0,2017-09-22 20:10:38 +0000,37.412752,-121.88615,5,23.83,248.653748
0,2017-09-22 20:10:43 +0000,37.412349,-121.887451,5,25.27,249.755615
0,2017-09-22 20:10:47 +0000,37.411999,-121.888573,5,27.639999,248.546143
0,2017-09-22 20:10:52 +0000,37.411585,-121.889937,5,23.790001,249.870453
0,2017-09-22 20:10:57 +0000,37.411254,-121.891092,7.901393,20.99,252.333755
0,2017-09-22 20:11:02 +0000,37.411036,-121.892195,5,20.82,258.358398
0,2017-09-22 20:11:07 +0000,37.410857,-121.893219,5,13.93,249.257812
0,2017-09-22 20:11:12 +0000,37.410703,-121.893601,5,1.99,241.171875
0,2017-09-22 20:11:22 +0000,37.410542,-121.893896,5,8.95,235.195312
0,2017-09-22 20:11:27 +0000,37.410209,-121.894431,5,13.96,225
0,2017-09-22 20:11:33 +0000,37.409681,-121.894941,5,11,214.439484
0,2017-09-22 20:11:38 +0000,37.409162,-121.895265,5,13.03,200.334564
0,2017-09-22 20:11:43 +0000,37.408675,-121.895395,5,12.9,187.576706
0,2017-09-22 20:11:48 +0000,37.40798,-121.895473,5,13.09,185.547562
0,2017-09-22 20:11:53 +0000,37.407247,-121.895555,5,18.25,186.367142
0,2017-09-22 20:11:59 +0000,37.406214,-121.895731,5,20.709999,196.421219
0,2017-09-22 20:12:04 +0000,37.405269,-121.896204,5,23.76,212.805756
0,2017-09-22 20:12:09 +0000,37.404589,-121.896992,5,18.77,237.342133
0,2017-09-22 20:12:14 +0000,37.404165,-121.89804,5,22.35,255.670303
0,2017-09-22 20:12:19 +0000,37.404078,-121.899208,5,20.389999,272.06131
0,2017-09-22 20:12:24 +0000,37.404168,-121.900256,5,15.37,275.042542
0,2017-09-22 20:12:29 +0000,37.404218,-121.900719,10,2.21,275.649139
0,2017-09-22 20:12:34 +0000,37.404233,-121.900905,10,6.81,275.649139
0,2017-09-22 20:12:38 +0000,37.404272,-121.901375,10,12.87,276.106506
0,2017-09-22 20:12:43 +0000,37.404325,-121.902016,10,9.35,275.234802
0,2017-09-22 20:12:48 +0000,37.404347,-121.902316,10,6.57,275.234802
0,2017-09-22 20:12:54 +0000,37.404248,-121.90286,10,8.63,180
0,2017-09-22 20:12:59 +0000,37.40365,-121.902844,10,16.530001,178.274353
0,2017-09-22 20:13:01 +0000,37.403298,-121.902826,10,21.200001,177.368042
0,2017-09-22 20:13:14 +0000,37.399994,-121.902805,10,30.57,175.0159
0,2017-09-22 20:13:18 +0000,37.398957,-121.902727,5,27.24,173.026657
0,2017-09-22 20:13:23 +0000,37.397877,-121.90254,5,22.059999,171.457962
0,2017-09-22 20:13:28 +0000,37.397054,-121.902371,5,14.59,169.916412
0,2017-09-22 20:13:33 +0000,37.396748,-121.902503,5,3.16,258.594604
0,2017-09-22 20:13:44 +0000,37.396714,-121.902705,5,1.46,257.75293
0,2017-09-22 20:13:49 +0000,37.396686,-121.902867,5,4.05,257.75293
0,2017-09-22 20:13:54 +0000,37.396627,-121.903207,5,7.49,257.75293
0,2017-09-22 20:13:59 +0000,37.396574,-121.903516,5,3.61,257.753784
0,2017-09-22 20:14:10 +0000,37.396501,-121.903931,5,10,255.356598
0,2017-09-22 20:14:14 +0000,37.396394,-121.904507,5,12.39,256.580475
0,2017-09-22 20:14:19 +0000,37.39634,-121.904789,5,3.1,256.140228
0,2017-09-22 20:14:24 +0000,37.3965,-121.904992,5,2.67,340.005035
0,2017-09-22 20:14:29 +0000,37.396596,-121.90489,5,4.74,74.61657
0,2017-09-22 20:14:36 +0000,37.396713,-121.90509,28.617068,1.5,339.65152
0,2017-09-22 20:14:53 +0000,37.396561,-121.90502,5,0,340.005035
3,2017-09-22 20:15:08 +0000,37.396567,-121.905022,5,0,340.005035
1,2017-09-22 20:15:53 +0000,37.396614,-121.904772,66.972846,-1,-1
0,2017-09-22 20:17:07 +0000,37.396305,-121.904869,5,9.52,124.804688
0,2017-09-22 20:17:12 +0000,37.396416,-121.90417,5,14.99,79.101562
0,2017-09-22 20:17:17 +0000,37.396564,-121.903602,5,7.11,75.9375
0,2017-09-22 20:17:22 +0000,37.396609,-121.903342,5,5.27,75.234375
0,2017-09-22 20:17:27 +0000,37.396643,-121.903168,5,0.47,76.289062
0,2017-09-22 20:17:43 +0000,37.396777,-121.903014,5,3.36,270.703125
0,2017-09-22 20:17:48 +0000,37.396648,-121.903394,5,8.42,254.179688
0,2017-09-22 20:17:53 +0000,37.396551,-121.903667,5,6.06,259.738159
0,2017-09-22 20:17:58 +0000,37.39645,-121.904206,5,11.76,256.995544
0,2017-09-22 20:18:03 +0000,37.396359,-121.90469,5,3.26,256.580475
0,2017-09-22 20:18:09 +0000,37.396503,-121.904993,5,3.33,340.005035
0,2017-09-22 20:18:14 +0000,37.396602,-121.90486,5,5.37,74.61657
0,2017-09-22 20:18:29 +0000,37.396673,-121.905072,26.537222,0,339.65152
0,2017-09-22 20:20:30 +0000,37.396562,-121.90502,5,0,340.005035
0,2017-09-22 20:23:26 +0000,37.396756,-121.904779,10,0,333.28125
2,2017-09-22 20:34:00 +0000,37.396668,-121.904752,47.249349,-1,-1
0,2017-09-22 20:34:15 +0000,37.398363,-121.902428,5,24.059999,351.714783
0,2017-09-22 20:34:20 +0000,37.39953,-121.90259,5,27.07,353.31308
4,2017-09-22 20:34:20 +0000,37.396594,-121.905056,5,-1,-1
0,2017-09-22 20:34:24 +0000,37.400541,-121.902705,10,27.57,359.965942
0,2017-09-22 20:34:25 +0000,37.400786,-121.902702,10,27.200001,359.965942
0,2017-09-22 20:34:26 +0000,37.401035,-121.902709,10,27,359.965942
